艦船ID,図鑑番号,艦名,読み,艦種,艦型,ソート順,改装前,改装後,改装Lv,改装弾薬,改装鋼材,改装設計図,カタパルト,戦闘詳報,新型航空兵装資材,改装段階,耐久初期,耐久最大,耐久結婚,耐久改修,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期最小,対潜初期最大,対潜最大,対潜175最小,対潜175最大,回避初期最小,回避初期最大,回避最大,回避175最小,回避175最大,索敵初期最小,索敵初期最大,索敵最大,索敵175最小,索敵175最大,運初期,運最大,速力,射程,レア,スロット数,搭載機数1,搭載機数2,搭載機数3,搭載機数4,搭載機数5,初期装備1,初期装備2,初期装備3,初期装備4,初期装備5,建造時間,解体燃料,解体弾薬,解体鋼材,解体ボーキ,改修火力,改修雷装,改修対空,改修装甲,ドロップ文章,図鑑文章,搭載燃料,搭載弾薬,ボイス,リソース名,画像バージョン,ボイスバージョン,母港ボイスバージョン
15,68,"曙","あけぼの",2,1,14181,0,231,20,100,100,0,0,0,0,0,15,29,19,21,10,29,27,69,12,39,5,19,20,20,49,71,71,41,41,79,108,108,5,5,19,29,29,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"特型駆逐艦「曙」よ。<br>って、こっち見んな！　この糞提督！","特型駆逐艦１８番艦、綾波型の８番艦、曙よ。<br>お相撲さんではないわ。覚えておいて。<br>初の空母戦、珊瑚海海戦にも参加したわ！<br>けど、何気に潜水艦は苦手かな…。",15,20,0,"fwptxiocqkyd",62,32,827
16,70,"潮","うしお",2,1,14201,0,233,20,100,100,0,0,0,0,0,15,29,19,21,10,29,27,69,12,39,5,19,20,20,49,71,71,41,41,79,108,108,5,5,19,29,29,20,79,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"特型駆逐艦…綾波型の「潮」です。<br>もう下がってよろしいでしょうか…。","綾波型１０番艦の潮です。<br>レイテ沖海戦などの激戦を潜り抜け、運命のあの日、<br>横須賀で御役目を終えるまで戦い抜きました。<br>あ、あの…沈めた敵艦の皆さんも…ホントはお助けし<br>たいのです。ホントです！",15,20,0,"xqjemfzdbjox",56,32,827
17,91,"陽炎","かげろう",2,30,16011,0,225,20,100,100,0,0,0,0,0,16,34,20,22,10,29,24,79,12,39,6,19,24,24,49,68,68,44,44,79,105,105,6,6,19,28,28,12,49,10,1,3,2,0,0,0,0,0,2,14,-1,-1,-1,24,1,1,6,0,1,1,0,1,"やっと会えた！　陽炎よ。<br>よろしくねっ！","第四次軍備充実計画で建造された陽炎型駆逐艦、ネー<br>ムシップの陽炎よ。<br>新鋭の主力駆逐艦として、ハワイ攻撃機動部隊を始<br>め、様々な作戦に参加したわ！<br>よろしくね！",15,20,0,"nkvvrszimkre",13,13,827
18,92,"不知火","しらぬい",2,30,16021,0,226,20,100,100,0,0,0,0,0,16,34,20,22,10,29,24,69,9,39,6,19,24,24,49,68,68,44,44,79,105,105,6,6,19,28,28,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,24,1,1,6,0,0,1,0,1,"不知火です。<br>ご指導ご鞭撻、よろしくです。","陽炎型駆逐艦２番艦、不知火です。<br>陽炎らと共にハワイ作戦部隊の護衛も務めました。<br>運命のレイテ沖海戦では志摩艦隊に所属、スリガオ海<br>峡に突入しました。",15,20,0,"louolngpmrwj",23,13,827
19,93,"黒潮","くろしお",2,30,16031,0,227,20,100,100,0,0,0,0,0,16,34,20,22,10,29,24,69,9,39,6,19,24,24,49,68,68,44,44,79,105,105,6,6,19,28,28,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,24,1,1,6,0,0,1,0,1,"黒潮や、よろしゅうな。","大阪の民間造船所で建造された、陽炎型駆逐艦の３番<br>艦、黒潮や。<br>こう見えても、スラバヤ沖海戦、南太平洋海戦、第三<br>次ソロモン海戦などの激戦に参加したんやで。",15,20,0,"ihengpjwmfrt",13,13,827
20,5,"雪風","ゆきかぜ",2,30,16081,0,228,20,100,100,0,0,0,0,0,16,39,20,22,10,29,24,79,12,49,7,29,24,24,49,68,68,50,50,89,118,118,6,6,19,28,28,50,99,10,1,6,2,0,0,0,0,0,2,14,-1,-1,-1,24,1,1,6,0,0,1,1,1,"陽炎型駆逐艦８番艦、雪風です。<br>どうぞ、よろしくお願いしますっ！","陽炎型駆逐艦８番艦の雪風です。<br>私たち主力艦隊型駆逐艦の中で、十数回以上の主要海<br>戦に参加しながらも、唯一ほとんど無傷で終戦まで生<br>き残りました。<br>奇跡の駆逐艦って？ううん、奇跡じゃないですっ！",15,20,0,"pueufyccujmd",20,17,827
21,42,"長良","ながら",3,20,10081,0,218,20,200,200,0,0,0,0,0,26,39,30,32,14,49,24,89,13,59,10,29,20,20,59,88,88,37,37,79,111,111,8,8,39,62,62,12,49,10,2,4,2,1,1,0,0,0,4,14,-1,-1,-1,60,2,2,10,0,0,1,0,2,"軽巡、長良です。<br>よろしくお願いします！","5500トン級軽巡洋艦、長良型の１番艦、長良よ。<br>ちょっとモデルは古いけど、高速・魚雷発射主兵装・<br>水雷戦隊指揮能力と、駆逐艦仕切るにはバッチリで<br>しょ？<br>ソロモン海での激闘でも奮戦したんだから！",25,25,0,"debsnofmttkx",13,3,827
22,43,"五十鈴","いすず",3,20,10091,0,219,12,200,200,0,0,0,0,0,26,39,30,32,14,39,24,79,13,49,10,29,40,40,79,108,108,37,37,69,93,93,8,8,39,62,62,10,49,10,2,2,2,1,1,0,0,0,4,-1,-1,-1,-1,60,2,2,10,0,0,1,0,1,"五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。","五十鈴は、大正時代に建造された長良型軽巡の２番<br>艦。<br>韋駄天さはもちろんだけど、私の歴代艦長の中から<br>は、あの山本五十六提督、山口多聞提督など後の海軍<br>を支える人物が多数輩出されたの。凄いでしょ？",25,25,0,"tcqsalkhzurk",12,1,827
23,45,"由良","ゆら",3,20,10111,0,220,20,200,200,0,0,0,0,0,26,39,30,32,14,39,24,79,13,49,10,29,40,40,79,108,108,37,37,69,93,93,8,8,39,62,62,10,49,10,2,1,2,1,1,0,0,0,4,-1,-1,-1,-1,60,2,2,10,0,0,1,0,1,"長良型軽巡四番艦の「由良」です。<br>どうぞ、よろしくお願いいたしますっ！","長良型軽巡４番艦の由良です。<br>私たちの中では、初めて水上偵察機を搭載したの。<br>水雷戦隊や潜水戦隊の旗艦として、活躍したのよ？<br>ドーントレスとかＢ17とかそういうのはちょっと苦<br>手。",25,25,0,"shjlydqjdfcl",30,28,827
24,19,"大井","おおい",3,4,10061,0,57,10,400,100,0,0,0,0,0,25,39,29,31,14,49,24,89,13,59,11,29,19,19,59,89,89,37,37,77,107,107,8,8,39,62,62,17,49,10,2,5,2,0,0,0,0,0,4,14,-1,-1,-1,60,2,2,9,0,0,1,0,1,"こんにちはー。軽巡洋艦、大井です。<br>どうぞ、よろしくお願い致しますね。","球磨型軽巡洋艦の４番艦、大井よ。<br>神戸生まれなの。<br>平時は海軍兵学校練習艦として活躍したのよ？<br>もちろん、真打ちは、重雷装艦へのモデルチェンジよ<br>ね？頑張るわ！",25,25,1,"yomyfjkhndny",20,25,827
25,20,"北上","きたかみ",3,4,10051,0,58,10,400,100,0,0,0,0,0,25,39,29,31,14,39,24,79,13,49,10,29,19,19,59,89,89,36,36,69,94,94,8,8,39,62,62,15,69,10,2,4,2,0,0,0,0,0,4,14,-1,-1,-1,60,2,2,9,0,0,1,0,1,"アタシは軽巡、北上。<br>まーよろしく。","球磨型軽巡洋艦の３番艦、北上だよー。<br>んあ？そう、大井っちとは親友。<br>酸素魚雷を打ちまくる重雷装巡洋艦にステップアップ<br>できるってさ。<br>やってみる？",25,25,1,"oxqlrctsmegi",13,21,827
26,26,"扶桑","ふそう",9,26,1051,0,286,20,150,500,0,0,0,0,0,67,89,74,76,74,94,0,0,23,79,59,79,0,0,0,0,0,19,19,39,54,54,9,9,33,51,51,5,39,5,3,4,4,3,3,3,3,0,7,11,25,-1,-1,260,9,18,36,3,4,0,1,3,"扶桑型超弩級戦艦、姉の扶桑です。<br>妹の山城ともども、よろしくお願い致します。","初の日本独自設計による超弩級戦艦、扶桑です。<br>妹の山城ともどもよろしくお願いしますね。<br>レイテ沖？　そうね、いつか突入してみたいわ。ホン<br>トよ？",85,120,0,"ubntuiyurxwk",49,21,827
27,27,"山城","やましろ",9,26,1061,0,287,20,150,500,0,0,0,0,0,67,89,74,76,74,94,0,0,23,79,59,79,0,0,0,0,0,19,19,39,54,54,9,9,33,51,51,5,39,5,3,4,4,3,3,3,3,0,7,11,25,-1,-1,260,9,18,36,3,4,0,1,3,"扶桑型戦艦姉妹、妹のほう、山城です。<br>あの、扶桑姉さま、見ませんでした？","扶桑型戦艦２番艦、山城です。<br>「欠陥戦艦」とか「艦隊にいる方が珍しい」とか、い<br>いたい放題ね…。<br>でも、いいの。最後の時も、扶桑姉さまと一緒に戦え<br>れば……",85,120,0,"dyurkaeenkdh",39,21,827
28,33,"皐月","さつき",2,28,13291,0,256,20,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,56,56,37,37,69,93,93,4,4,17,26,26,10,49,10,1,2,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,"皐月だよっ。<br>よろしくな！","ボクは任務途中に何度も何度も怪我をしたけど、最後<br>まで奮戦した睦月型駆逐艦５番艦さ。<br>緒戦の後も、船団護衛などで各海域で頑張ったんだ。<br>ホントだよ。",15,15,0,"qvmfwjitflgw",12,12,827
29,34,"文月","ふみづき",2,28,13311,0,257,20,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,56,56,37,37,69,93,93,4,4,17,26,26,10,49,10,1,2,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,"あたし、文月っていうの。<br>よろしくぅ～。","睦月型駆逐艦７番艦の文月だよ。<br>数々の海戦に参加したんだ。<br>船団護衛中に大型船と衝突して大破…したこともあっ<br>たっけ。<br>あれはやばかったなー。",15,15,0,"pjkwpxniwgge",12,12,827
30,36,"菊月","きくづき",2,28,13331,0,259,20,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,56,56,37,37,69,93,93,4,4,17,26,26,10,49,10,1,1,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,"私が菊月だ、共にゆこう。","睦月型駆逐艦の９番艦、菊月だ。<br>緒戦は数々の攻略作戦に参加。<br>そして、船団護衛に従事したんだ。<br>いや、護衛任務も大切なミッションだ……。",15,15,0,"jatvhskutlck",10,10,827
31,38,"望月","もちづき",2,28,13351,0,261,20,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,56,56,37,37,69,93,93,4,4,17,26,26,10,49,10,1,1,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,"ん？あぁ、望月でーす。","睦月型駆逐艦望月でーす。<br>第30駆逐隊に所属して各攻略作戦に参加したよ。<br>何度も修理を繰り返しながら輸送任務に従事したぞ。<br>結構頑張ったっしょ？",15,15,0,"isiuepygxdzq",15,15,827
32,13,"初雪","はつゆき",2,12,14031,0,203,20,100,100,0,0,0,0,0,15,29,19,21,10,29,27,69,10,39,5,19,20,20,49,71,71,40,40,79,108,108,5,5,19,29,29,10,49,10,1,1,2,0,0,0,0,0,297,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"初雪……です……よろしく。","特型駆逐艦…３番艦…初雪…です。<br>緒戦の作戦に…いっぱい参加しました…。<br>輸送任務とかも…ん…がんばる……。",15,20,0,"pxogwcltgjkn",18,18,827
33,15,"叢雲","むらくも",2,12,14051,0,205,20,100,100,0,0,0,0,0,15,29,19,21,10,29,27,69,10,39,5,19,20,20,49,71,71,40,40,79,108,108,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,297,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"あんたが司令官ね。<br>ま、せいぜい頑張りなさい！","特型駆逐艦、５番艦の叢雲よ。<br>え、知らないって？　全く、ありえないわね。<br>南方作戦や、古鷹の救援、数々の作戦に参加した名艦<br>の私を知らないって、あんた、もぐりでしょ！",15,20,1,"hpfcwdqxgyvl",26,18,827
34,71,"暁","あかつき",2,5,14211,0,234,20,100,100,0,0,0,0,0,15,30,19,21,10,29,27,79,12,39,6,19,20,20,49,71,71,42,42,89,125,125,5,5,19,29,29,12,49,10,1,3,2,0,0,0,0,0,2,13,-1,-1,-1,20,1,1,5,0,1,1,0,0,"暁よ。<br>一人前のレディーとして扱ってよね！","特Ⅲ型駆逐艦１番艦の暁よ。<br>吹雪型をベースに航行性能や航続距離を向上させた<br>の。特型駆逐艦の最終完成形なんだから！<br>ちゃんとレディーとして活躍したのよ！<br>ほ、ほんとなんだからっ。",15,20,0,"mtvkfikepcfr",3,3,827
35,72,"響","ひびき",2,5,14221,0,235,20,100,100,0,0,0,0,0,15,30,19,21,10,29,27,69,12,39,6,19,20,20,49,71,71,42,42,79,107,107,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"響だよ。<br>その活躍ぶりから不死鳥の通り名もあるよ。","数ある特型駆逐艦の中で、最後まで生き残ったのが、<br>響。転戦の後、あの大和水上特攻時には修理で同行で<br>きなかったんだ。<br>賠償艦としてソ連に引き渡され「信頼できる」という<br>意味の艦名になったんだ。",15,20,0,"nfzmalhtwved",3,3,827
36,73,"雷","いかづち",2,5,14231,0,236,20,100,100,0,0,0,0,0,15,30,19,21,10,29,27,69,12,39,6,19,20,20,49,71,71,42,42,79,107,107,5,5,19,29,29,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"雷よ！　かみなりじゃないわ！<br>そこのとこもよろしく頼むわねっ！","スラバヤ沖海戦では駆逐艦電と一緒に協力して、沈没<br>した敵艦隊の生存者の救助に当たったのよ。<br>ただ強いだけじゃ、だめだと思うの。<br>ね、司令官！",15,20,0,"aejfywpsegbv",14,5,827
37,74,"電","いなづま",2,5,14241,0,237,20,100,100,0,0,0,0,0,15,30,19,21,10,29,27,69,12,39,6,19,20,20,49,71,71,42,42,79,107,107,5,5,19,29,29,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"電です。<br>どうか、よろしくお願いいたします。","スラバヤ沖海戦で撃沈した敵艦の乗員の救助に努めた<br>後、キスカ、ソロモン、ニューギニア、アッツ島な<br>ど、各戦域を転戦しました…<br>頑張ったの…です…。",15,20,0,"uuilouoffjoj",14,5,827
38,75,"初春","はつはる",2,10,15011,0,238,20,100,100,0,0,0,0,0,16,31,20,22,10,29,27,79,12,39,6,19,21,21,49,70,70,43,43,89,124,124,5,5,19,29,29,12,49,10,1,3,2,0,0,0,0,0,2,13,-1,-1,-1,20,1,1,5,0,1,1,0,0,"わらわが初春じゃ。<br>よろしく頼みますぞ。","初春型駆逐艦、１番艦の初春じゃ。<br>わらわは、北方部隊に所属。戦雲渦巻くアッツやキス<br>カなどの北方海域で活躍したぞ。<br>北海道周辺も好きな海域じゃな。マニラ湾やオルモッ<br>ク…？ああ、熱いところは苦手じゃ。",15,20,0,"nlobofyxzvku",14,18,827
39,76,"子日","ねのひ",2,10,15021,0,239,20,100,100,0,0,0,0,0,16,31,20,22,10,29,27,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"初めまして、ねのひ、だよぉ！<br>艦名、読みづらくなんか、ないよね？ね？","丸一計画で建造された、初春型駆逐艦２番艦の子日だ<br>よ。<br>初春などの姉妹艦で第２１駆逐隊を編成して色々と頑<br>張ったんだよ。<br>なに？潜水艦…？嫌いキライ！",15,20,0,"zgerairddhko",22,14,827
40,77,"若葉","わかば",2,10,15031,0,240,20,100,100,0,0,0,0,0,16,31,20,22,10,29,27,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"駆逐艦、若葉だ。","初春型駆逐艦３番艦、若葉だ。<br>アッツ島沖海戦やキスカ島撤退作戦などに参加した。<br>そうだ、北方海域だ。<br>ああ、濃霧には注意が必要だ。ぶつかりやすい。<br>特に「初霜」、お前は要注意だ。",15,20,0,"ihuijkvksqky",10,14,827
41,78,"初霜","はつしも",2,10,15041,0,241,20,100,100,0,0,0,0,0,16,31,20,22,10,29,27,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,"初春型四番艦、初霜です。<br>皆さん、よろしくお願いします！","初春型駆逐艦の４番艦、初霜です。<br>アリューシャン作戦、アッツ島沖海戦、キスカ島撤退<br>作戦、マリアナ沖海戦、北号作戦、坊ノ岬沖海戦な<br>ど、様々な激戦に参加しました！<br>ほんと、頑張ったんです！",15,20,0,"qngptlxhrwhj",10,13,827
42,79,"白露","しらつゆ",2,23,15071,0,242,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,79,12,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,12,49,10,1,3,2,0,0,0,0,0,2,14,-1,-1,-1,22,1,1,5,0,1,1,0,0,"白露型駆逐艦一番艦、「白露」です！<br>はい、一番艦ですっ！","初春型駆逐艦の次に開発された白露型の１番艦、白露<br>だよ！　そう、１番艦だよ、１番艦。<br>色々と改良された艦隊型駆逐艦なんだから！<br>え？慌ててタンカーと衝突しないようにって？大丈<br>夫！",15,20,0,"ahztpphnuvco",45,46,827
43,80,"時雨","しぐれ",2,23,15081,0,243,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,22,1,1,5,0,0,1,0,0,"僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。","僕は白露型駆逐艦２番艦の時雨だよ。<br>あのレイテ沖海戦では、西村艦隊に所属して、運命の<br>スリガオ海峡に突入したんだ。<br>扶桑も山城も凄かったよ……。<br>皆が忘れても、僕だけはずっと覚えているから……。",15,20,1,"kclrmkyzpnpc",62,57,827
44,81,"村雨","むらさめ",2,23,15091,0,244,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,22,1,1,5,0,0,1,0,0,"はいはーい！白露型駆逐艦「村雨」だよ。<br>みんな、よろしくね！","白露型駆逐艦３番艦、村雨よ。<br>雨の名前の駆逐艦群なんてお洒落よね？<br>姉妹艦の夕立たちと一緒に第２駆逐隊を編成したの。<br>鼠輸送ですって？　失礼しちゃう、ガダルカナル島輸<br>送作戦でも活躍したわ！",15,20,0,"fhaelooubkbi",55,57,827
45,82,"夕立","ゆうだち",2,23,15101,0,245,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,22,1,1,5,0,0,1,0,0,"こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！","白露型駆逐艦の４番艦、夕立です。<br>第三次ソロモン海戦では、けっこう頑張ったっぽい？<br>でも、何気に「アイアンボトム・サウンド」って、ホ<br>ントに怖い言葉よね？",15,20,1,"pnpixtolsebg",53,36,827
46,83,"五月雨","さみだれ",2,23,15121,0,246,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,69,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,22,1,1,5,0,0,1,0,0,"五月雨っていいます！よろしくお願いします。<br>護衛任務はお任せください！","五月雨です。<br>村雨・夕立・春雨とは第２駆逐隊でお友達でした。<br>そうそう、輸送任務中に白露と衝突してしまったこと<br>も…ホント、私ってば、ドジでごめんなさい。<br>でも、頑張ります！",15,20,0,"tyjrubumfpxy",12,12,827
47,84,"涼風","すずかぜ",2,23,15161,0,247,20,100,100,0,0,0,0,0,16,32,20,22,10,29,24,79,9,39,6,19,21,21,49,70,70,43,43,79,106,106,5,5,19,29,29,12,49,10,1,3,2,0,0,0,0,0,2,14,-1,-1,-1,22,1,1,5,0,1,1,0,0,"ちわ！涼風だよ。<br>私が艦隊に加われば百人力さ！","涼風だよ。<br>特型駆逐艦として数々の攻略作戦の支援に参加したん<br>だ。<br>その後は戦艦や空母の護衛にも従事したよ。<br>頼りにしてね！最後まで戦うから！",15,20,0,"qaryaychpubb",9,9,827
